id,newcode,newcode2,delete,ValLabNum,ValLabel,var2000_1,var2000_2,var2001_1,var2001_2,var2002_1,var2002_2,var2003_1,var2003_2,var2004_1,var2004_2,var2005_1,,,,,
1,UqNr,uqnr,,,,UqNr,UqNr,UqNr,UqNr,UqNr,UqNr,UqNr,UqNr,UqNr,UqNr,UqNr,,,,,
2,Province,province,,1,Western Cape,Prov_Feb2000,Prov_Sep2000,Prov_Feb2001,Prov_Sep2001,Prov_Feb2002,Prov_Sep2002,Prov_Mar2003,Prov_Sep2003,Prov,Prov,Prov,,,,,
2,Province,province,,2,Eastern Cape,Prov_Feb2000,Prov_Sep2000,Prov_Feb2001,Prov_Sep2001,Prov_Feb2002,Prov_Sep2002,Prov_Mar2003,Prov_Sep2003,Prov,Prov,Prov,,,,,
2,Province,province,,3,Northern Cape,Prov_Feb2000,Prov_Sep2000,Prov_Feb2001,Prov_Sep2001,Prov_Feb2002,Prov_Sep2002,Prov_Mar2003,Prov_Sep2003,Prov,Prov,Prov,,,,,
2,Province,province,,4,Free State,Prov_Feb2000,Prov_Sep2000,Prov_Feb2001,Prov_Sep2001,Prov_Feb2002,Prov_Sep2002,Prov_Mar2003,Prov_Sep2003,Prov,Prov,Prov,,,,,
2,Province,province,,5,KwaZulu-Natal,Prov_Feb2000,Prov_Sep2000,Prov_Feb2001,Prov_Sep2001,Prov_Feb2002,Prov_Sep2002,Prov_Mar2003,Prov_Sep2003,Prov,Prov,Prov,,,,,
2,Province,province,,6,North West,Prov_Feb2000,Prov_Sep2000,Prov_Feb2001,Prov_Sep2001,Prov_Feb2002,Prov_Sep2002,Prov_Mar2003,Prov_Sep2003,Prov,Prov,Prov,,,,,
2,Province,province,,7,Gauteng,Prov_Feb2000,Prov_Sep2000,Prov_Feb2001,Prov_Sep2001,Prov_Feb2002,Prov_Sep2002,Prov_Mar2003,Prov_Sep2003,Prov,Prov,Prov,,,,,
2,Province,province,,8,Mpumalanga,Prov_Feb2000,Prov_Sep2000,Prov_Feb2001,Prov_Sep2001,Prov_Feb2002,Prov_Sep2002,Prov_Mar2003,Prov_Sep2003,Prov,Prov,Prov,,,,,
2,Province,province,,9,Limpopo (Northern Province),Prov_Feb2000,Prov_Sep2000,Prov_Feb2001,Prov_Sep2001,Prov_Feb2002,Prov_Sep2002,Prov_Mar2003,Prov_Sep2003,Prov,Prov,Prov,,,,,
3,UrbRur,urbrur,,1,Urban,UrbRur_Feb2000,UrbRur_Sep2000,Type_Feb2001,Type_Sep2001,Type_Feb2002,Type_Sep2002,areatype,areatype,areatype,,,,,,,
3,UrbRur,urbrur,,2,Non-urban (Rural),UrbRur_Feb2000,UrbRur_Sep2000,Type_Feb2001,Type_Sep2001,Type_Feb2002,Type_Sep2002,areatype,areatype,areatype,,,,,,,
4,NumHouseholds,numhh,,,,TotHH_Feb2000,,,,,,,,,,,,,,,
5,NumPersons,numper,,88,Not applicable,TotPersn_Feb2000,,,,,,,,,,,,,,,
6,WhoBringsMoney,hhmoneyper,,88,Not applicable,Q113aMst_Feb2000,Q115aMst_Sep2000,Q115aMs_Feb2001,Q115aMst_Sep2001,,,,,,,,,,,,
6,WhoBringsMoney,hhmoneyper,,99,Unspecified,Q113aMst_Feb2000,Q115aMst_Sep2000,Q115aMs_Feb2001,Q115aMst_Sep2001,,,,,,,,,,,,
7,MoneyHHOther,hhmoneyperoth,,1,Oldest of 2+ persons who bring in same highest amount,Q113bExp_Feb2000,Q115bExp_Sep2000,Q11bExp_Feb2001,Q115bExp_Sep2001,,,,,,,,,,,,
7,MoneyHHOther,hhmoneyperoth,,2,Oldest person who brings in money (respondent does not know),Q113bExp_Feb2000,Q115bExp_Sep2000,Q11bExp_Feb2001,Q115bExp_Sep2001,,,,,,,,,,,,
7,MoneyHHOther,hhmoneyperoth,,3,"No-one brings in money, oldest person in HH",Q113bExp_Feb2000,Q115bExp_Sep2000,Q11bExp_Feb2001,Q115bExp_Sep2001,,,,,,,,,,,,
7,MoneyHHOther,hhmoneyperoth,,8,Not applicable,Q113bExp_Feb2000,Q115bExp_Sep2000,Q11bExp_Feb2001,Q115bExp_Sep2001,,,,,,,,,,,,
7,MoneyHHOther,hhmoneyperoth,,9,Unspecified,Q113bExp_Feb2000,Q115bExp_Sep2000,Q11bExp_Feb2001,Q115bExp_Sep2001,,,,,,,,,,,,
435,MoneyInHHPerson,hhmoneyperoth,,99,Unspecified,,,,,,Q115aMst_Sep2002,,,,,,,,,,
436,MoneyMostPerson,hhmoneyperoth,,1,One person brings in highest amount,,,,,,Q115bExp_Sep2002,,,,,,,,,,
436,MoneyMostPerson,hhmoneyperoth,,2,Oldest of 2+ persons who bring in same highest amount,,,,,,Q115bExp_Sep2002,,,,,,,,,,
436,MoneyMostPerson,hhmoneyperoth,,3,Oldest person who brings in money (respondent does not know),,,,,,Q115bExp_Sep2002,,,,,,,,,,
436,MoneyMostPerson,hhmoneyperoth,,4,"No-one brings in money, oldest person in HH",,,,,,Q115bExp_Sep2002,,,,,,,,,,
436,MoneyMostPerson,hhmoneyperoth,,8,Not applicable,,,,,,Q115bExp_Sep2002,,,,,,,,,,
436,MoneyMostPerson,hhmoneyperoth,,9,Unspecified,,,,,,Q115bExp_Sep2002,,,,,,,,,,
8,LangIntv,langint,,1,Afrikaans,Q54Ilang_Feb2000,,,,,Q735ILan_Sep2002,,,,,,,,,,
8,LangIntv,langint,,2,English,Q54Ilang_Feb2000,,,,,Q735ILan_Sep2002,,,,,,,,,,
8,LangIntv,langint,,3,Isindebele/South Ndebele/North Ndebele,Q54Ilang_Feb2000,,,,,Q735ILan_Sep2002,,,,,,,,,,
8,LangIntv,langint,,4,Isishosa/Xhosa,Q54Ilang_Feb2000,,,,,Q735ILan_Sep2002,,,,,,,,,,
8,LangIntv,langint,,5,Isizulu/Zulu,Q54Ilang_Feb2000,,,,,Q735ILan_Sep2002,,,,,,,,,,
8,LangIntv,langint,,6,Sepedi/Northern Sotho,Q54Ilang_Feb2000,,,,,Q735ILan_Sep2002,,,,,,,,,,
8,LangIntv,langint,,7,Sesotho/Southern Sotho/Sotho,Q54Ilang_Feb2000,,,,,Q735ILan_Sep2002,,,,,,,,,,
8,LangIntv,langint,,8,Setswana/Tswana,Q54Ilang_Feb2000,,,,,Q735ILan_Sep2002,,,,,,,,,,
8,LangIntv,langint,,9,Siswati/Swazi,Q54Ilang_Feb2000,,,,,Q735ILan_Sep2002,,,,,,,,,,
8,LangIntv,langint,,10,Tshiwenda/Venda,Q54Ilang_Feb2000,,,,,Q735ILan_Sep2002,,,,,,,,,,
8,LangIntv,langint,,11,Xitsonga/Tsonga,Q54Ilang_Feb2000,,,,,Q735ILan_Sep2002,,,,,,,,,,
8,LangIntv,langint,,12,Other,Q54Ilang_Feb2000,,,,,Q735ILan_Sep2002,,,,,,,,,,
8,LangIntv,langint,,88,Not applicable,Q54Ilang_Feb2000,,,,,Q735ILan_Sep2002,,,,,,,,,,
8,LangIntv,langint,,99,Unspecified,Q54Ilang_Feb2000,,,,,Q735ILan_Sep2002,,,,,,,,,,
434,IntvwLan,indusprev,,,,,,,,,Q735ILan_Sep2002,,,,,,,,,,
9,PersonNr,personnr,,,,PersonNr,PersonNr,PersonNr,PersonNr,PersonNr,PersonNr,PersonNr,PersonNr,PersonNr,PersonNr,PersonNR,,,,,
10,HHResident,hhres,,1,Resident,B_Reside_Feb2000,,,,,,,,,,,,,,,
10,HHResident,hhres,,2,Visitor,B_Reside_Feb2000,,,,,,,,,,,,,,,
11,StayedinHH,stayedinhh,,1,Yes,C_TimeSt_Feb2000,B_4Night_Sep2000,B_4Night_Feb2001,B_4Night_Sep2001,B_4Night_Feb2002,B_4Night_Sep2002,B_4Night_Mar2003,B_4Night_Sep2003,B_4Night,B_4Night,B_4Night,,,,,
11,StayedinHH,stayedinhh,,2,No,C_TimeSt_Feb2000,B_4Night_Sep2000,B_4Night_Feb2001,B_4Night_Sep2001,B_4Night_Feb2002,B_4Night_Sep2002,B_4Night_Mar2003,B_4Night_Sep2003,B_4Night,B_4Night,B_4Night,,,,,
12,gender,gender,,1,Male,D_Gender_Feb2000,C_Gender_Sep2000,C_Gender_Feb2001,C_Gender_Sep2001,C_Gender_Feb2002,C_Gender_Sep2002,Gender_Mar2003,Gender_Sep2003,C_Gender,Gender,Gender,,,,,
12,gender,gender,,2,Female,D_Gender_Feb2000,C_Gender_Sep2000,C_Gender_Feb2001,C_Gender_Sep2001,C_Gender_Feb2002,C_Gender_Sep2002,Gender_Mar2003,Gender_Sep2003,C_Gender,Gender,Gender,,,,,
