newid,id,newcode,newcode2,desc,Notes,var1994,var1995,var1996,var1997,var1998,var1999
1,,UqNr,uqnr,Unique household identifier,,uqnr,hhid,hhid,hhid,uqnr,uqnr
81,81,personid,personid,Unique individual identifier,,personid,personid,personid,personid,personid,personid
96,96,personnr,personnr,Person number,Added in to make merging in person data easier for other data users,person,persno,respno,ppersno,personnr,personnr
82,82,ea,ea,Enumeration Area code,"I create this variable from EA and MD vars in data in some years, in OHS 94 from number 1 and number 2 variables. ",eaunique,eaunique,eaunique,eaunique,eaunique,psunr
,,eatype,eatype,"Type of EA (urban formal and informal, rural etc)",,,,eatype,,,
83,83,dc,dc,Magisterial District,,,,,mdnumber,district,
2,2,Province,province,Province,,prov,prov,prov,prov,prov,prov
3,3,UrbRur,urbrur,Type of area,,urban,type,type ,type ,eatype,eatype 
84,84,pweight,pweight,Stats SA person weight,,pweight,pweight,newpwgt1,perswgt,perswgt,weight
85,85,hweight,hweight,Stats SA household weight,,,newwgt1,newhwgt,hhwgt,hhwgt,hhwgt
86,86,ceweight,ceweight,"Cross Entropy weight, Branson",,cewgt,cewgt,cewgt,cewgt,cewgt,cewgt
5,5,gender,gender,Gender (1=Male 2=Female),,gender,gender,eegender ,pgender ,b_gender,b_gender
6,6,age,age,Age,,age ,age, personag,page,c_age ,c1_age 
7,7,popgroup2,popgroup2,Population group,,,popgrp,popgroup,,,d_race 
42,42,popgroup3,popgroup3,Population group OHS 98-97,,,,,prace,d_race ,
73,73,popgroup4,popgroup4,Population group OHS 94,,pop_grp,,,,,
8,8,whynotwork3,whynotwork3,Reason did not work during the past week ,,,,,wjobcat,q3_37not,q3_37not
43,43,whynotwork4,whynotwork4,"Reason did not work during the past week: OHS 95, 96",,whynowk7,q333,rnotwork,,,
,,,,,Need a consistent whynotwork var over all OHS and LFS,,,,,,
9,9,willacceptwork,willacceptwork,Will accept suitable job if offered,,accept_j,q328,ejobsoff,waccjob ,q3_32aac,q3_29acc
10,10,empstat1,empstat1,"Employment status, official","I created a version of this in 96. Metadata says var is there, but var is not so I used the code, which is there. Also created a version of it in 95 using workers, strictun and expandedun vars and sim vars in 94",status1,status1,status1,status1,status1,status1
11,11,empstat2,empstat2,"Employment status, expanded","I created a version of this in 96. Metadata says var is there, but var is not so I used the code, which is there. Also created a version of it in 95 using workers, strictun and expandedun vars and sim vars in 94",status2,status2,status2,status2,status2,status2
